Gene ID,NC24h_pi_1,NC24h_pi_2,NC24h_pi_3,X24h_pi_1,X24h_pi_2,X24h_pi_3,NC48h_pi_1,NC48h_pi_2,NC48h_pi_3,X48h_pi_1,X48h_pi_2,X48h_pi_3,NC72h_pi_1,NC72h_pi_2,NC72h_pi_3,X72h_pi_1,X72h_pi_2,X72h_pi_3,NC96h_pi_1,NC96h_pi_2,NC96h_pi_3,X96h_pi_1,X96h_pi_2,X96h_pi_3
c153601_g1,3,6,2,4,3,4,3,6,2,4,7,6,3,6,2,4,0,9,3,6,2,9,13,7
c153665_g1,15,8,14,9,14,16,15,8,14,17,15,17,15,8,14,6,7,4,15,8,14,17,8,7
c153717_g1,0,1,0,5,2,2,0,1,0,11,10,3,0,1,0,3,0,7,0,1,0,4,1,5
c153780_g1,3,8,13,9,7,7,3,8,13,5,26,7,3,8,13,2,1,6,3,8,13,10,3,5
c153831_g1,0,0,0,1,3,4,0,0,0,5,7,3,0,0,0,5,2,2,0,0,0,27,5,5
c153882_g1,0,0,2,12,7,5,0,0,2,13,19,8,0,0,2,13,9,2,0,0,2,18,4,2
c153945_g1,0,3,0,1,2,1,0,3,0,5,7,5,0,3,0,4,3,2,0,3,0,12,9,6
c153991_g1,3,3,1,5,1,1,3,3,1,4,3,2,3,3,1,3,1,1,3,3,1,10,6,3
c154061_g1,0,1,2,25,24,21,0,1,2,39,49,22,0,1,2,16,32,16,0,1,2,32,21,6
c154114_g1,0,0,0,0,2,3,0,0,0,10,10,6,0,0,0,2,3,3,0,0,0,13,10,5
c154188_g1,0,0,0,7,5,4,0,0,0,5,13,21,0,0,0,13,8,3,0,0,0,14,5,8
c154255_g1,0,1,0,9,5,13,0,1,0,2,2,0,0,1,0,2,2,3,0,1,0,4,8,177
c154301_g1,3,0,3,1,4,0,3,0,3,1,2,0,3,0,3,0,0,1,3,0,3,0,2,0
c154369_g1,0,0,0,13,4,13,0,0,0,7,24,25,0,0,0,9,13,8,0,0,0,24,11,1
c154407_g1,0,0,0,0,3,1,0,0,0,9,3,9,0,0,0,3,2,2,0,0,0,6,2,0
c154462_g1,47,54,65,62,51,40,47,54,65,44,28,49,47,54,65,36,47,21,47,54,65,52,15,32
c154503_g1,0,0,0,6,3,7,0,0,0,10,21,17,0,0,0,3,5,9,0,0,0,12,6,3
c154561_g1,1,0,0,10,4,10,1,0,0,2,6,7,1,0,0,14,10,7,1,0,0,35,7,2
c15460_g1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
c154664_g1,0,3,0,6,6,2,0,3,0,14,22,8,0,3,0,9,3,5,0,3,0,10,8,3
c1546_g1,0,1,0,0,2,2,0,1,0,1,3,3,0,1,0,1,0,3,0,1,0,0,2,1
c154744_g1,0,0,0,5,2,5,0,0,0,1,3,3,0,0,0,9,4,2,0,0,0,9,4,0
c154810_g1,0,0,0,9,10,13,0,0,0,17,31,19,0,0,0,4,6,8,0,0,0,40,20,15
c154876_g1,0,3,3,2,3,5,0,3,3,1,0,1,0,3,3,3,0,3,0,3,3,1,1,0
c154935_g1,0,0,0,8,8,4,0,0,0,8,7,6,0,0,0,2,2,3,0,0,0,3,3,4
c154987_g1,5,10,8,5,8,7,5,10,8,3,5,3,5,10,8,3,1,5,5,10,8,7,1,2
c155041_g1,21,23,30,6,11,7,21,23,30,5,10,7,21,23,30,9,2,7,21,23,30,7,9,3
